track_id,name,album,artists,num_playlists,url
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,DAMN.,"Kendrick Lamar, Zacari",28,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,More Life,Drake,26,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
63SevszngYpZOwf63o61K4,Nevermind,Nevermind,Dennis Lloyd,26,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,More Life,Drake,25,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Blonde,Frank Ocean,24,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),"Elton John, Dua Lipa, PNAU",22,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",22,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
2KvHC9z14GSl4YpkNMX384,Do Not Disturb,More Life,Drake,21,https://open.spotify.com/track/2KvHC9z14GSl4YpkNMX384
4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,"Drake, Giveon",21,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),Rodeo,"Travis Scott, Kacy Hill",20,https://open.spotify.com/track/51EC3I1nQXpec4gDk0mQyP
45Q8FBzKZSIG5KsIe7VabG,Paradise (feat. Modi),Paradise (feat. Modi),"Thierry Von Der Warth, Modi",19,https://open.spotify.com/track/45Q8FBzKZSIG5KsIe7VabG
1odExI7RdWc4BT515LTAwj,Daylight,Daylight,David Kushner,19,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,19,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
5bJ1DrEM4hNCafcDd1oxHx,Self Care,Swimming,Mac Miller,19,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
1HFfMOxCAT4GAwaPfCdmUs,Waves - Robin Schulz Radio Edit,Waves (Robin Schulz Radio Edit),"Mr. Probz, Robin Schulz",19,https://open.spotify.com/track/1HFfMOxCAT4GAwaPfCdmUs
3WRQUvzRvBDr4AxMWhXc5E,Sunset Lover,Presence,Petit Biscuit,18,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
7eqoqGkKwgOaWNNHx90uEZ,Nights,Blonde,Frank Ocean,18,https://open.spotify.com/track/7eqoqGkKwgOaWNNHx90uEZ
0wXuerDYiBnERgIpbb3JBR,Redbone,"""Awaken, My Love!""",Childish Gambino,18,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
1I8tHoNBFTuoJAlh4hfVVE,Firestone,Cloud Nine,"Kygo, Conrad Sewell",18,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE
3GZD6HmiNUhxXYf8Gch723,Lost,channel ORANGE,Frank Ocean,17,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
