track_id,name,album,artists,url,acousticness,danceability,energy,instrumentalness,speechiness,valence,duration,loudness,tempo,time_signature,key,mode
5osJX2oReWcL7LSwCySshK,악취 Freak,수잔 Suzanne,Kim Sawol,https://open.spotify.com/track/5osJX2oReWcL7LSwCySshK,0.751,0.747,0.164,0.739,0.0377,0.246,299.14734,-15.703,103.837,4,1,1
4IbE8jxsczCxfGYJCE2T1x,Strawberry Perfume,Strawberry Perfume,Chenayder,https://open.spotify.com/track/4IbE8jxsczCxfGYJCE2T1x,0.819,0.748,0.409,0.214,0.0377,0.0671,116.73601,-9.947,83.542,4,6,0
3KhaTrz69de6q78m1lmKx9,Sereno,No Reino Dos Afetos,Bruno Berle,https://open.spotify.com/track/3KhaTrz69de6q78m1lmKx9,0.86,0.731,0.481,0.758,0.0363,0.502,127.21333,-14.04,141.245,4,8,1
6xoKWTiw0jVO3IvEKLxMSs,god's chariots,Galore,Oklou,https://open.spotify.com/track/6xoKWTiw0jVO3IvEKLxMSs,0.929,0.672,0.476,0.812,0.0864,0.0491,183.50667,-14.645,94.263,4,0,0
1QFeIABBgUe8T0WtQYnv3v,I Know Now (2003),I Know Now (2003),Ojerime,https://open.spotify.com/track/1QFeIABBgUe8T0WtQYnv3v,0.369,0.718,0.697,0.00571,0.0579,0.434,120.80766,-8.745,130.985,4,2,1
4WYoSVibjO0PftEmfRimMN,PRESSED,PRESSED,"Dean Blunt, TYSON",https://open.spotify.com/track/4WYoSVibjO0PftEmfRimMN,0.676,0.513,0.513,0.695,0.0388,0.865,79.84485,-11.25,186.308,4,5,0
41s3kJ6aOLNLDs9MT7tMYO,Friendly,Sensational,Erika de Casier,https://open.spotify.com/track/41s3kJ6aOLNLDs9MT7tMYO,0.0287,0.698,0.53,0.0589,0.0657,0.313,180.5606,-7.841,152.043,4,8,0
5VF7j976GuhqDFtKkzv3o6,Baby Blu,Rainbow Edition,Hype Williams,https://open.spotify.com/track/5VF7j976GuhqDFtKkzv3o6,0.287,0.633,0.555,0.0857,0.0437,0.67,82.54667,-8.814,86.49,4,4,0
0bx1WqLCinbINJUYnpjqMO,On Formulation,SHILOH: Lost For Words,John Glacier,https://open.spotify.com/track/0bx1WqLCinbINJUYnpjqMO,0.397,0.887,0.437,0.107,0.344,0.61,74.93333,-9.387,138.077,4,4,1
5Hf2h59YLInKlic7ooWZVd,Roygbiv,Music Has The Right To Children,Boards of Canada,https://open.spotify.com/track/5Hf2h59YLInKlic7ooWZVd,0.0224,0.661,0.616,0.944,0.0557,0.167,149.08,-8.442,84.033,4,4,0
5WTDDEFOnPXi6rOK9F8BLc,Shustari,Healing Cycles,Koyil,https://open.spotify.com/track/5WTDDEFOnPXi6rOK9F8BLc,0.147,0.618,0.862,0.916,0.0545,0.329,528.5714,-9.96,125.975,4,11,0
0kXV7vstmOdAnF3lTZpvBK,dvd (ft. Choker),MK 3.5: Die Cuts | City Planning,"Mount Kimbie, Dom Maker, Choker",https://open.spotify.com/track/0kXV7vstmOdAnF3lTZpvBK,0.909,0.625,0.182,0.208,0.0503,0.295,136.21878,-16.564,145.061,4,9,1
784VjdNkpXhFV0RHquzsi2,100,BLACK METAL,Dean Blunt,https://open.spotify.com/track/784VjdNkpXhFV0RHquzsi2,0.000406,0.613,0.807,0.065,0.0246,0.482,200.90668,-6.47,102.205,4,10,0
6TJWJF7bfXjIxOll4g7Orl,Finite Jest,Paid Testimony,Baba Stiltz,https://open.spotify.com/track/6TJWJF7bfXjIxOll4g7Orl,0.99,0.376,0.15,0.765,0.031,0.288,69.30653,-21.145,74.391,3,0,1
