track_id,name,album,artists,url,acousticness,danceability,energy,instrumentalness,speechiness,valence,duration,loudness,tempo,time_signature,key,mode
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,DAMN.,"Kendrick Lamar, Zacari",https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,0.264,0.8,0.585,0,0.0924,0.779,213.4,-7.343,126.058,4,10,1
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,More Life,Drake,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,0.256,0.809,0.463,0.085,0.0396,0.364,298.94077,-11.377,111.98,4,11,1
63SevszngYpZOwf63o61K4,Nevermind,Nevermind,Dennis Lloyd,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,0.159,0.6,0.688,1.29e-05,0.201,0.0793,156.6,-8.339,99.977,4,5,0
6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,More Life,Drake,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo,0.111,0.766,0.283,0.0172,0.0846,0.144,219.69238,-10.33,97.04,4,8,0
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Blonde,Frank Ocean,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8,0.667,0.545,0.545,5.48e-05,0.107,0.549,184.51646,-7.362,159.94,3,9,1
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),"Elton John, Dua Lipa, PNAU",https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,0.034,0.796,0.798,4.19e-05,0.0317,0.942,202.73546,-6.312,116.032,4,1,1
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,0.0686,0.674,0.774,0.00188,0.0892,0.33,176.54668,-7.567,112.05,4,11,0
2KvHC9z14GSl4YpkNMX384,Do Not Disturb,More Life,Drake,https://open.spotify.com/track/2KvHC9z14GSl4YpkNMX384,0.246,0.618,0.693,0,0.45,0.454,283.55075,-5.943,170.982,4,7,0
4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,"Drake, Giveon",https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,0.629,0.735,0.449,0,0.347,0.0397,220.4878,-7.507,122.947,4,10,1
51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),Rodeo,"Travis Scott, Kacy Hill",https://open.spotify.com/track/51EC3I1nQXpec4gDk0mQyP,0.113,0.402,0.526,8.33e-06,0.0904,0.312,339.06668,-6.737,81.42,4,9,0
45Q8FBzKZSIG5KsIe7VabG,Paradise (feat. Modi),Paradise (feat. Modi),"Thierry Von Der Warth, Modi",https://open.spotify.com/track/45Q8FBzKZSIG5KsIe7VabG,0.262,0.835,0.609,0.000987,0.0535,0.531,132.52463,-7.073,111.867,4,8,1
1odExI7RdWc4BT515LTAwj,Daylight,Daylight,David Kushner,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj,0.83,0.508,0.43,0.000441,0.0335,0.324,212.95361,-9.475,130.09,4,2,0
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,0.0644,0.828,0.492,0.00428,0.0276,0.789,257.8,-9.744,120.151,4,0,1
5bJ1DrEM4hNCafcDd1oxHx,Self Care,Swimming,Mac Miller,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx,0.367,0.52,0.538,0.00187,0.206,0.177,345.13333,-8.109,141.894,4,1,1
1HFfMOxCAT4GAwaPfCdmUs,Waves - Robin Schulz Radio Edit,Waves (Robin Schulz Radio Edit),"Mr. Probz, Robin Schulz",https://open.spotify.com/track/1HFfMOxCAT4GAwaPfCdmUs,0.00821,0.829,0.51,0.00143,0.0369,0.45,208.13333,-9.334,119.994,4,5,0
